Á,Aacute
≾,precsim
″,Prime
′,prime
ℙ,primes
⪹,prnap
⪵,prnE
⋨,prnsim
∏,prod
∏,Product
⌮,profalar
⌒,profline
⌓,profsurf
∝,prop
∷,Proportion
∝,Proportional
∝,propto
≾,prsim
⊰,prurel
𝒫,Pscr
𝓅,pscr
Ψ,Psi
ψ,psi
 ,puncsp
𝔔,Qfr
𝔮,qfr
⨌,qint
ℚ,Qopf
𝕢,qopf
⁗,qprime
𝒬,Qscr
𝓆,qscr
ℍ,quaternions
⨖,quatint
?,quest
≟,questeq
,QUOT
,quot
⇛,rAarr
∽̱,race
Ŕ,Racute
ŕ,racute
√,radic
⦳,raemptyv
⟫,Rang
⟩,rang
⦒,rangd
⦥,range
⟩,rangle
»,raquo
↠,Rarr
⇒,rArr
→,rarr
⥵,rarrap
⇥,rarrb
⤠,rarrbfs
⤳,rarrc
⤞,rarrfs
↪,rarrhk
↬,rarrlp
⥅,rarrpl
⥴,rarrsim
⤖,Rarrtl
↣,rarrtl
↝,rarrw
⤜,rAtail
⤚,ratail
∶,ratio
ℚ,rationals
⤐,RBarr
⤏,rBarr
⤍,rbarr
❳,rbbrk
},rbrace
],rbrack
⦌,rbrke
⦎,rbrksld
⦐,rbrkslu
Ř,Rcaron
ř,rcaron
Ŗ,Rcedil
ŗ,rcedil
⌉,rceil
},rcub
Р,Rcy
р,rcy
⤷,rdca
⥩,rdldhar
”,rdquo
”,rdquor
↳,rdsh
ℜ,Re
ℜ,real
ℛ,realine
ℜ,realpart
ℝ,reals
▭,rect
®,REG
®,reg
∋,ReverseElement
⇋,ReverseEquilibrium
⥯,ReverseUpEquilibrium
⥽,rfisht
⌋,rfloor
ℜ,Rfr
𝔯,rfr
⥤,rHar
⇁,rhard
⇀,rharu
⥬,rharul
Ρ,Rho
ρ,rho
ϱ,rhov
⟩,RightAngleBracket
→,RightArrow
⇒,Rightarrow
→,rightarrow
⇥,RightArrowBar
⇄,RightArrowLeftArrow
↣,rightarrowtail
⌉,RightCeiling
⟧,RightDoubleBracket
⥝,RightDownTeeVector
⇂,RightDownVector
⥕,RightDownVectorBar
⌋,RightFloor
⇁,rightharpoondown
⇀,rightharpoonup
⇄,rightleftarrows
⇌,rightleftharpoons
⇉,rightrightarrows
↝,rightsquigarrow
⊢,RightTee
↦,RightTeeArrow
⥛,RightTeeVector
